Reactor,Day,pH,DO,CO2,Cell_Density,Cell_Viability,Product_Titer
2,34,7.47,38,95.2,10.5,82.6,1.4
2,35,7.19,45.3,87.7,18.6,98.1,1.4
2,36,7.45,41.6,80,29.3,84.4,1.5
2,37,6.73,42.3,41.1,9.2,94.4,1.5
2,38,6.95,38.6,61.7,28.9,87,1.5
2,39,7.25,30.1,95.4,20.4,85.3,1.6
2,40,6.74,35.9,41.4,19.2,97.7,1.6
2,41,7.19,35.7,48.9,13.4,87.2,1.6
2,42,7.06,30.6,44.6,21.1,94.3,1.7
2,43,6.81,43.8,31.1,13.4,81.6,1.7
2,44,7.32,34.7,54.8,16.9,88.9,1.8
2,45,7.04,46.8,47.8,14.2,80.9,1.8
2,46,7,30.5,62.4,18.3,89.7,1.8
2,47,7.08,42.8,71.1,27.2,85.3,1.9
2,48,7.4,47.7,47.6,33.5,88.6,1.9
2,49,7.4,49.5,53.2,23.2,96.3,1.9
2,50,7.17,46.6,45.7,10.6,87.7,2
3,0,6.95,32.1,46.5,27.8,97.9,0.2
3,1,7.17,44.7,109.2,11.8,87.2,0.2
3,2,7.16,37.3,60.6,9.9,92.5,0.3
3,3,6.94,45.1,58.3,20.9,85,0.3
3,4,7.29,49.8,75.3,7.1,87.6,0.3
3,5,7.44,46.2,95.5,25.7,91.5,0.4
3,6,6.94,45.9,108.5,8,88.4,0.4
3,7,6.85,49.3,51.1,32.9,81.2,0.4
3,8,7.23,39.6,85.9,26.8,85.9,0.5
3,9,7.07,49.8,97.9,8.5,87.6,0.5
3,10,7.19,33.5,64,13.1,83.6,0.6
3,11,7.24,46.2,50.8,19.6,93.6,0.6
3,12,6.71,49.4,69.7,30.1,95.8,0.6
3,13,6.79,37.7,30.2,9.3,82.4,0.6
3,14,7.17,44.7,89.6,30.2,90.1,0.7
3,15,7.44,42.5,97.2,6.5,80.6,0.7
3,16,7.29,37.3,65.1,30.4,93.3,0.8
3,17,6.89,42,61,9.8,94,0.8
3,18,7.43,49.5,76.9,14.3,84.9,0.8
3,19,6.76,39.2,70.3,32.1,81.6,0.9
3,20,6.86,37.8,50.7,19.7,95.3,0.9
3,21,7.22,33.7,64.2,8.5,93.3,0.9
3,22,7.14,43.2,92.4,18.4,82.6,1
3,23,7.12,30.1,33.3,13.5,80.8,1
3,24,6.71,30.9,30.8,26.6,98.9,1
3,25,6.92,32.2,97.3,17.6,87.2,1.1
3,26,7.21,46.3,101.2,17.8,97,1.1
3,27,7.47,45,32.1,28.8,84,1.2
3,28,7.38,41.5,60.2,6.2,88.6,1.2
3,29,7.44,42.6,55,22.5,95.9,1.2
3,30,6.89,44.2,99.9,6.9,94.5,1.3
3,31,6.73,36.5,61.8,9.8,94.1,1.3
3,32,7.16,43.9,58,15.8,92.2,1.3
3,33,6.77,34.1,33.6,20.2,93.4,1.4
3,34,6.75,45.5,85.1,6.6,93.1,1.4
3,35,6.84,41.7,73.5,11.1,92.1,1.4
3,36,7.46,44,54.1,12.8,88.3,1.5
3,37,7.17,38.7,35.1,11.3,98.5,1.5
3,38,7.46,49.5,30.1,34.6,94.1,1.5
3,39,7.1,37.5,89.3,21.7,92.3,1.6
3,40,7.08,40.4,40.4,20.3,99,1.6
3,41,6.88,44.1,68.4,26.4,97.4,1.6
3,42,7.02,39.8,80.9,5.5,98.8,1.7
3,43,7.47,47.6,54.1,20,95.8,1.7
3,44,7.38,44.6,95.5,30.3,97.7,1.8
3,45,7.36,42.6,69.3,25.6,82.9,1.8
3,46,7.44,35.7,91.9,32.8,93.3,1.8
3,47,7.02,39.3,75.5,9.3,88.2,1.9
3,48,7.38,33,55.6,6.5,93.9,1.9
3,49,6.81,33.8,68,31.3,93.1,1.9
3,50,7.18,31.7,36.4,25.5,98,2
4,0,7.21,32.8,68,26.2,91.7,0.2
4,1,6.77,38.6,48.7,15.6,92,0.2
4,2,6.83,49.4,64.9,11.4,89.9,0.3
4,3,6.88,31.9,64.1,34.8,87.7,0.3
4,4,7.34,38,78.6,33.5,81.8,0.3
4,5,7.21,49.6,34.7,17.3,89.3,0.4
4,6,7.2,36.3,34.6,25.9,90.7,0.4
4,7,6.84,38.7,69.3,25.4,95.8,0.4
4,8,6.82,43,39.2,20.3,94.9,0.5
4,9,6.71,44.5,98.3,34.8,98.9,0.5
4,10,6.73,40.8,76.2,9,94.7,0.6
4,11,6.97,40.8,41.6,11.1,83.8,0.6
4,12,7.42,46.5,88.7,26.9,81.2,0.6
4,13,7.32,43.6,79.1,33.7,95.9,0.6
4,14,7.19,31.8,53.5,33.7,94.3,0.7
4,15,6.88,47.8,104.9,15.6,94.7,0.7
4,16,6.79,34.4,84,21.5,85,0.8
4,17,6.85,45.1,72.4,31.2,87.2,0.8
4,18,7.13,35.7,107.7,18.7,86.2,0.8
4,19,6.98,31.7,87.8,34.8,81.2,0.9
4,20,7.16,42.9,72.8,7.2,96.7,0.9
4,21,7.2,43.6,92.3,11.3,86.1,0.9
4,22,6.86,40.2,52.4,25.7,85.8,1
4,23,7.45,48.1,63.6,33.6,83.4,1
4,24,7.45,46.9,73,12.7,82.1,1
4,25,7.22,37,73,20.9,89,1.1
4,26,7.42,44.9,58,33.5,94.3,1.1
4,27,7.4,47.5,61,34.8,86.6,1.2
4,28,6.89,35,83.6,23.9,84.5,1.2
4,29,6.7,32.2,96.8,19.5,94.3,1.2
4,30,6.95,36.9,105.9,15.2,96.1,1.3
4,31,7.06,36.4,45.3,5.1,80.9,1.3
4,32,6.98,40.6,88.3,25.1,88.4,1.3
4,33,7.46,35.8,57.2,30.7,96.7,1.4
4,34,7.48,38.2,83.5,30.1,97.5,1.4
4,35,7.06,39,96.6,18.1,94.1,1.4
4,36,7.18,47.9,45.1,24.1,90.1,1.5
4,37,7.33,45.3,100.9,11.7,91.4,1.5
4,38,7.31,43.6,67.2,21.3,94.9,1.5
4,39,7.21,31.7,46.7,5.7,83.8,1.6
4,40,6.81,30.9,54.1,25.3,91.2,1.6
4,41,6.89,37.5,49.1,22.9,94.7,1.6
4,42,6.7,45.7,84.6,9.5,88.4,1.7
4,43,7.45,34.9,91,15,93.5,1.7
4,44,7.26,44.6,89.1,10,82.1,1.8
4,45,7.36,40,103.8,16.9,88.7,1.8
4,46,7.36,32.8,105.4,18.4,98.3,1.8
4,47,7.48,41.7,74.7,29.3,85.9,1.9
4,48,7.18,31.2,51.2,23,93.3,1.9
4,49,7.12,37.6,85.1,30.3,81.9,1.9
4,50,7.21,39.9,104.8,30.8,87.9,2
5,0,6.72,31.2,68.2,18.3,87.8,0.2
5,1,6.91,37.6,93.6,21.9,96.1,0.2
5,2,7.29,38.5,81.1,5,81,0.3
5,3,6.97,40.9,40.7,28.6,93.3,0.3
5,4,7.27,39.7,30.7,18.3,85.2,0.3
5,5,6.89,35.2,38.6,26.6,92.1,0.4
5,6,6.88,48,55.4,31,90.9,0.4
5,7,7.04,49.7,101.1,25.5,92.4,0.4
5,8,7.33,37.1,80,6.7,98.2,0.5
5,9,7.27,37.1,87.9,14.8,98.4,0.5
5,10,7.5,33.7,43,9.5,82.9,0.6
5,11,7.19,39.6,81.9,17,87.8,0.6
5,12,6.81,34.2,105.1,19,83.3,0.6
5,13,6.95,38.3,30.6,8.3,83.4,0.6
5,14,6.85,40.7,35.2,32.5,94.2,0.7
5,15,6.9,31.9,56.2,31.5,84.6,0.7
5,16,7.49,44,80.4,14,90.1,0.8
5,17,7.13,32.6,52.6,32.4,85,0.8
5,18,6.86,39.6,46.7,15.4,82,0.8
5,19,6.81,42.2,78.5,21.8,97.3,0.9
5,20,7.18,33.1,76.5,9.9,83.5,0.9
5,21,6.94,32.6,51,13.8,96.5,0.9
5,22,6.93,47.3,45.2,21.2,92.8,1
5,23,7.05,45.2,75.5,24.2,83,1
5,24,6.92,43.2,80.7,11.3,88,1
5,25,6.92,31.4,67.3,16.3,94.6,1.1
5,26,7.26,42.6,41,26.9,92.9,1.1
5,27,6.82,39,61.6,5.3,98.9,1.2
5,28,7.35,44.3,88.9,13,81.9,1.2
5,29,7.31,42.7,53.9,18.2,95.8,1.2
5,30,7.29,44.8,35.8,22.1,87.5,1.3
5,31,6.75,30.6,36.9,14.2,92.8,1.3
5,32,6.99,37.9,77,12.9,81.2,1.3
5,33,6.92,34.2,75.2,18.6,86.9,1.4
5,34,7.22,38.6,96.4,31.6,86.1,1.4
5,35,7.21,40.4,34.8,23.8,90.2,1.4
5,36,7.05,45.6,51.1,13.9,88.4,1.5
5,37,6.85,34.9,103.9,31.5,92.6,1.5
5,38,7.22,33.1,59.3,26.7,94.6,1.5
5,39,6.99,32,58,6.5,80.5,1.6
5,40,7.24,30.6,40.7,22.9,97.2,1.6
5,41,7.09,44.3,34.7,9.3,86.5,1.6
5,42,7.1,37.7,65.2,28.2,80.1,1.7
5,43,6.87,33.2,35.9,7.2,83.3,1.7
5,44,7.46,47.8,71.6,20.4,94.4,1.8
5,45,6.79,48.7,47.4,29.7,90.9,1.8
5,46,7.24,32.9,98.4,31.8,88.9,1.8
5,47,7.09,33.6,54.7,23.5,91.2,1.9
5,48,7.27,33.3,42.1,13.7,85.8,1.9
5,49,6.87,37.8,43.1,33.9,95.6,1.9
5,50,7.31,30.3,107.9,11.4,97,2
6,0,7.19,44.6,55.7,16.2,84.3,0.2
6,1,6.79,32.8,98.9,16.7,86.5,0.2
6,2,7.25,43.8,95.4,7.1,95,0.3
6,3,7.43,40.5,104.7,16.7,93.2,0.3
6,4,6.9,35.9,39.7,20.3,97.2,0.3
6,5,6.71,40.3,105.1,18.9,94.8,0.4
6,6,7.18,44.3,82.1,27.2,88.5,0.4
6,7,7.01,43.7,103.7,21.6,94.9,0.4
6,8,7.44,40.3,67.4,28.2,82.8,0.5
6,9,7.39,44,109.8,19.8,85.7,0.5
6,10,7.22,38.9,84.7,12.1,94.2,0.6
6,11,7.03,40.4,79.5,13.6,85.6,0.6
6,12,6.84,43.8,101.7,30.2,87.5,0.6
6,13,7.42,48.3,33.8,27.8,94,0.6
6,14,7.4,30.6,96.7,19.4,84.2,0.7
6,15,6.86,44.9,84,15,96,0.7
6,16,7.33,42.2,87.4,32.5,96.1,0.8
6,17,7.06,35.1,40.4,14.8,98.9,0.8
6,18,7.16,37.3,46.1,32.4,92.2,0.8
6,19,6.85,44.3,50.9,27.3,89.8,0.9
6,20,7.42,37.8,62.5,27.6,96.6,0.9
6,21,7.25,34.3,34,19.4,89.2,0.9
6,22,6.85,33.7,85.7,24.5,98.3,1
6,23,6.9,39.5,79.4,21,81.4,1
6,24,7.25,37,39.2,5.9,93.9,1
6,25,7.44,47.7,51.2,8,90.8,1.1
6,26,7.29,35.5,42.4,22.7,91.1,1.1
6,27,7.13,42.2,105.5,13.6,96.1,1.2
6,28,7.26,37,93.7,22.8,94.9,1.2
6,29,6.93,49.4,40.5,6.6,84.5,1.2
6,30,7.1,33.4,88.6,5.2,86.3,1.3
6,31,7.1,33.6,37.5,17.6,91.6,1.3
6,32,6.82,39.2,50.7,19.3,82.5,1.3
6,33,6.9,34.1,105,32.8,98.6,1.4
6,34,6.74,37,94.7,25.9,95,1.4
6,35,7.19,30.7,52,22.5,92.3,1.4
6,36,7.01,48.4,59.1,9.4,80.6,1.5
6,37,7.43,39.5,66.3,13.4,82.7,1.5
6,38,6.96,38,86.4,26.1,86.5,1.5
6,39,7.15,35.9,34.9,11.6,86.8,1.6
6,40,6.94,37.8,75.9,26.3,84.6,1.6
6,41,6.74,36.1,99.8,6.4,88.4,1.6
6,42,7.47,37.9,49.5,22,98.6,1.7
6,43,6.77,43,55.2,16.2,96.8,1.7
6,44,7.11,40.5,92.5,25.6,93.2,1.8
6,45,7.06,32.6,38.3,9.7,97.4,1.8
6,46,7.29,49.9,87.3,23.6,96.5,1.8
6,47,7.11,38.4,97.5,28.1,88.5,1.9
6,48,7.21,46.3,91.8,27.2,90,1.9
6,49,7.15,33.1,38.1,21.9,80,1.9
6,50,7.24,37,65.7,22,96.8,2
7,0,7.42,44.7,101.9,22.6,90,0.2
7,1,6.8,49.4,51.7,24.5,82.7,0.2
7,2,6.76,42.5,33.5,18.3,93.7,0.3
7,3,7.03,37.7,84.3,14.2,95.7,0.3
7,4,6.88,42.1,51.7,29,83.5,0.3
7,5,6.81,43.4,75.1,14.9,92.6,0.4
7,6,7.23,35.4,49.1,18.5,85.5,0.4
7,7,6.9,30.6,103,8.3,88,0.4
7,8,7.09,44.4,61,25.8,94.4,0.5
7,9,6.76,41.3,59.1,12.3,94.7,0.5
7,10,7.49,41.3,95.3,32.4,97,0.6
7,11,7.16,42,30.4,31.3,87.5,0.6
7,12,7.2,40.9,97.3,23,90.6,0.6
7,13,7.22,37.8,30.9,25.1,94.3,0.6
7,14,7.35,49.1,40.3,15,82.2,0.7
7,15,7.46,44.1,50.2,16.8,98.1,0.7
7,16,7.45,34.4,69,33.7,98.9,0.8
7,17,7.5,36.4,99.2,23.4,91.9,0.8
7,18,7.26,31.5,41.6,34.2,91.2,0.8
7,19,7.4,48.9,80.1,21.8,81.9,0.9
7,20,7.3,47.3,103.8,22.6,87.9,0.9
7,21,7.32,40.8,95.4,6,85.9,0.9
7,22,7.11,31.2,99.1,13.7,86,1
7,23,7.03,35.4,69.9,10,80,1
7,24,6.96,47.2,50.4,16.1,86.8,1
7,25,6.92,43.9,54.2,15.4,82.5,1.1
7,26,6.96,35.7,67.9,28,84.9,1.1
7,27,6.86,35.8,67.9,18.5,93.7,1.2
7,28,7.07,36.3,74.9,9.5,88.8,1.2
7,29,7.31,35,31.2,19,91,1.2
7,30,6.89,34,97,19.7,95,1.3
7,31,7.16,42.8,70.8,19.7,84.2,1.3
7,32,7.15,47.6,108.6,14.6,87.2,1.3
7,33,6.81,32.8,34.7,6.3,90.7,1.4
7,34,7.42,34.6,78.7,33.5,95.4,1.4
7,35,7.29,35.7,105.3,33.2,90,1.4
7,36,6.72,46.2,109.6,31.3,83,1.5
7,37,6.9,46.3,69.6,30.8,93.9,1.5
7,38,6.97,40.7,55.3,24.9,90.1,1.5
7,39,7.26,46.5,97.2,32.3,81,1.6
7,40,6.82,42.4,99.3,27.7,96.5,1.6
7,41,6.88,41.9,54,26.6,90.5,1.6
7,42,7.42,38.1,81.4,11.6,87.2,1.7
7,43,7.23,36,34,29.7,85.3,1.7
7,44,7.32,45.5,43.5,24,83.6,1.8
7,45,6.84,44,67.9,33.6,93.7,1.8
7,46,7.32,47.1,86.6,29.2,81.1,1.8
7,47,7.31,34.3,91.2,23.3,87,1.9
7,48,7.21,31.9,43.5,26,93.9,1.9
7,49,7,35.9,62.7,25.1,83.9,1.9
7,50,6.8,44.8,74.2,18.4,94.1,2
8,0,7.26,44.8,95.1,23.5,90.6,0.2
8,1,6.88,41.3,67.6,29.1,84.7,0.2
8,2,7.16,32.7,97.1,34.4,81.6,0.3
8,3,7.47,37.4,62.3,34.9,94.5,0.3
8,4,6.91,48.1,63.9,10.3,87.4,0.3
8,5,7.48,39.5,104.5,19.6,87.2,0.4
8,6,6.88,48.2,45.9,21,98.4,0.4
8,7,7.4,40.6,73.9,28.2,97.7,0.4
8,8,7.05,48.6,107.6,17.1,81.5,0.5
8,9,7.44,33.5,73.9,16.2,93.5,0.5
8,10,6.97,40.5,53.2,14.2,87.6,0.6
8,11,7.07,42.9,98.2,28.7,95.8,0.6
8,12,7.44,37.5,98.6,7.1,91.8,0.6
8,13,7.5,41.1,49.6,15.5,84.3,0.6
8,14,7.5,44.4,61.4,9.9,94,0.7
8,15,7.47,31.1,55.2,26.2,87.1,0.7
8,16,7.32,46.5,74.3,30.9,93.2,0.8
8,17,6.87,30.8,48.1,14.1,82.6,0.8
8,18,6.71,39.3,62.2,10.7,90.8,0.8
8,19,6.93,38.1,78.6,23,85.7,0.9
8,20,6.74,30.3,46.3,26,88.9,0.9
8,21,7.24,45.7,39.4,30.1,85.1,0.9
8,22,7.27,43,35.3,5.7,98.2,1
8,23,7.4,39.6,92.4,7.4,82,1
8,24,6.94,47.2,98.6,32.4,97.8,1
8,25,6.84,35.9,94.2,17,89.5,1.1
8,26,7.31,33.1,76.1,26,97.2,1.1
8,27,6.9,37.7,91.6,5.7,91.2,1.2
8,28,7.3,34.5,47.8,9.8,91.8,1.2
8,29,6.85,30.9,77.5,7.2,88.1,1.2
8,30,7.36,40.9,69.3,20.2,82.8,1.3
8,31,6.77,45.4,63.1,19.2,91.5,1.3
8,32,6.78,34.5,108.7,17.2,88,1.3
8,33,6.91,36.8,45.7,19.7,85,1.4
8,34,7.15,43.3,76.6,29.4,93.6,1.4
8,35,7.42,44.1,35.9,21.1,84.5,1.4
8,36,6.96,48.8,54.7,7.8,85.3,1.5
8,37,6.71,37.3,90.7,10.8,85.6,1.5
8,38,7.31,39,59.3,17.4,84,1.5
8,39,6.84,33.6,38.7,10.4,97.8,1.6
8,40,7.13,39.4,62.8,8,96.1,1.6
8,41,7.23,38.3,43.7,6.9,92.8,1.6
8,42,6.89,43.7,88.7,24.1,94.7,1.7
8,43,6.99,47.9,74.5,20,82.8,1.7
8,44,6.96,47.3,83.5,27.3,92,1.8
8,45,7.17,39.9,70.5,15.8,83.1,1.8
8,46,7.48,36.7,78.9,7,96.1,1.8
8,47,7.37,36.1,107.8,9.6,86.9,1.9
8,48,6.83,39.7,103.3,13.8,90.9,1.9
8,49,7.28,45,90.7,26.9,95.8,1.9
8,50,6.89,35.6,102,6.9,85.2,2
9,0,6.81,34.2,44.6,32.1,85.4,0.2
9,1,6.77,46.8,97.4,9,92.3,0.2
9,2,6.94,37.9,92.1,16.9,93.9,0.3
9,3,7.49,42.5,48.9,33,96,0.3
9,4,6.98,46.3,43.9,15.4,83.7,0.3
9,5,7.33,47.5,53.4,14.8,94.4,0.4
9,6,7.26,46.8,32.4,30.1,86.6,0.4
9,7,7.27,42.5,61.2,10.5,98.8,0.4
9,8,7.41,48.1,74.6,34.3,81.1,0.5
9,9,6.96,38.1,71.6,28.5,87.4,0.5
9,10,6.78,30.5,71,22.9,93.4,0.6
9,11,7.08,42.4,83.2,20.2,80.1,0.6
9,12,6.98,34.5,42.7,27.6,89.5,0.6
9,13,7.19,33.3,51,11.1,82.1,0.6
9,14,6.72,42.3,60.3,24.1,94.7,0.7
9,15,6.7,38.9,43.4,30.1,94.2,0.7
9,16,6.8,46,100.8,31.8,87.3,0.8
9,17,6.89,33.2,31.7,30.8,96.5,0.8
9,18,7.09,40.1,41.2,22.4,94.2,0.8
9,19,6.98,45,34.5,27.9,94.2,0.9
9,20,7.24,38.9,43.9,12.9,87.1,0.9
9,21,6.9,42.4,36,20.3,87.6,0.9
9,22,7.01,35.1,34.1,15.4,84.3,1
9,23,7.09,34.7,43.7,31.4,89.1,1
9,24,7.17,33.2,43.2,28.7,84,1
9,25,6.81,32.6,94.7,17.5,90.1,1.1
9,26,7.28,47.7,109.9,7.8,86.8,1.1
9,27,7.28,32.8,41.6,22.4,90.9,1.2
9,28,7.08,35.7,87.6,15.4,82.3,1.2
9,29,7.03,48,52.7,12.2,93,1.2
9,30,7.28,49.6,84.3,7.9,92.6,1.3
9,31,7.3,45,68.2,22.1,95.3,1.3
9,32,6.91,47.2,104.8,27.3,90.9,1.3
9,33,6.98,45.2,95.5,33.7,87.1,1.4
9,34,7.2,30.9,53.3,12.7,80.4,1.4
9,35,7.38,35,107.5,21.6,91,1.4
9,36,6.8,30.3,63.4,15.5,87.6,1.5
9,37,6.76,37.2,83.5,24.3,87.8,1.5
9,38,7.49,32.1,41.1,15.2,86.3,1.5
9,39,7.43,40.8,52,22.1,85.8,1.6
9,40,7.2,42.2,76.1,18,83.9,1.6
9,41,7.03,31.1,83.8,31.1,81.8,1.6
9,42,6.9,34.5,77.3,22.6,84.9,1.7
9,43,6.93,45.5,82.9,32.7,98.9,1.7
9,44,7.18,30.8,48.2,29.4,85.6,1.8
9,45,7.11,35.4,107.2,8.9,89.2,1.8
9,46,7.49,45,70.5,19.6,92.9,1.8
9,47,6.85,50,81.9,10.8,93.1,1.9
9,48,7.11,36.6,60.5,32.4,87.7,1.9
9,49,7.15,39.4,64.1,27.7,85.8,1.9
9,50,6.95,32.6,100.7,32.5,97.9,2
10,0,6.8,30.6,68,19.1,83.8,0.2
10,1,7.09,40.6,46.2,17,88.5,0.2
10,2,7.18,46.5,30.3,5.9,82.7,0.3
10,3,6.76,36.4,79.1,30.1,92.7,0.3
10,4,7.28,35.8,39.8,7.5,87.6,0.3
10,5,7.2,48.5,67.2,32.1,81.3,0.4
10,6,7.14,33.5,65.8,12.9,94.9,0.4
10,7,7.44,32.2,72.2,8.3,87.1,0.4
10,8,7.3,33.5,54,18.7,83.3,0.5
10,9,6.92,34.4,62,13.2,94.3,0.5
10,10,7.06,48,89.5,25.1,83.7,0.6
10,11,6.84,33.9,34.2,22.4,87.8,0.6
10,12,7.16,33.1,44.6,16.9,88.8,0.6
10,13,6.78,49.1,57,14,93.8,0.6
10,14,6.71,31.8,64.6,13.7,84.7,0.7
10,15,7.23,30.2,34.6,18.9,80.8,0.7
10,16,7.25,41.2,94.5,27.9,98.3,0.8
10,17,6.83,47.3,102.4,8.4,86.5,0.8
10,18,6.76,42.1,60.3,13.1,88.9,0.8
10,19,7.24,48.7,51.1,11.9,83.6,0.9
10,20,7.3,49.5,43.4,18.6,93.6,0.9
10,21,7.24,31.2,66.7,13.9,85.5,0.9
10,22,6.9,41.9,66.4,7.3,90.7,1
10,23,7.05,45.3,107.2,14.5,86.9,1
10,24,7.23,43.1,31.6,14,80.4,1
10,25,7.48,42.8,49.3,24.6,89.5,1.1
10,26,6.72,41.8,66.7,33.3,89.8,1.1
10,27,6.79,32.2,80.1,28.7,98.7,1.2
10,28,7.35,42.2,97.8,21.8,92.1,1.2
10,29,7.01,46.5,34.1,19.5,89.3,1.2
10,30,6.75,38.6,76.4,13.6,91,1.3
10,31,7.01,48.8,109.9,18.8,82.1,1.3
10,32,7.4,41.1,79,27.4,90.4,1.3
10,33,6.99,41.3,81.3,9.6,89.1,1.4
10,34,6.71,48.1,57.3,17.5,97.3,1.4
10,35,7.33,47.8,103.4,19.4,96.4,1.4
10,36,6.81,49.6,37.7,10.8,93.3,1.5
10,37,7.09,49.7,90,7,84.7,1.5
10,38,7.28,41.8,83.4,18.6,93.8,1.5
10,39,6.72,45.8,69.5,9.9,95.6,1.6
10,40,7.33,47.2,106.4,21.3,84,1.6
10,41,7.37,46.6,86.9,33.6,98.2,1.6
10,42,7,46,43.1,7.8,81.2,1.7
10,43,6.96,38.2,40.9,28.3,81.1,1.7
10,44,6.73,48,78.4,17.5,97.5,1.8
10,45,7.31,38.4,76.1,19.8,85.5,1.8
10,46,7.22,48.6,70.5,22.4,90.1,1.8
10,47,7.41,35,35.3,17.4,88.1,1.9
10,48,7.46,43.9,93.4,18.8,93.4,1.9
10,49,6.84,37.3,69.5,7.4,96.9,1.9
10,50,6.74,34.9,37,29.2,97.7,2
11,0,7.29,48.6,61.7,5.9,81.6,0.2
11,1,7.08,47.1,56.8,23.8,85.3,0.2
11,2,7.29,45,59,20.1,97.5,0.3
11,3,6.73,45.3,34.5,11.5,85.5,0.3
11,4,7.43,38.7,72.9,19.3,82.8,0.3
