Bioreactor,Day,pH,CO2,O2_MFC,Cell_Density,Cell_Viability,Product_Titer
3,0,6.78,45.1,1,30.3,97.1,1.6
3,1,6.91,100.5,1,30.5,90.8,1.6
3,2,7.34,76.7,1,34.5,85.9,1.6
3,3,7.45,80.9,1,30.8,82.1,1.6
3,4,7.38,39.1,1,29.8,94.3,1.6
3,5,7.12,45.7,1,30.7,87.7,1.7
3,6,6.92,50.7,1,19.7,99,1.8
3,7,7.38,95.5,1,30.3,97.7,1.8
3,8,7.38,96.5,1,24.4,89.2,1.8
3,9,7.06,56.1,1,25.6,99,1.8
3,10,6.72,81.4,1,8.5,96.1,1.8
3,11,6.72,54,1,9.6,84.8,1.9
3,12,6.7,48.6,1,34.2,86,1.9
3,13,7.26,32.2,1,15.1,86.5,1.9
3,14,7.01,59.1,1,14.2,95.7,1.9
3,15,7.48,100.8,1,33.8,81.3,1.9
3,16,6.81,68,1,31.3,93.1,1.9
3,17,7.45,98.5,1,30.2,82.4,2
3,18,7.06,41,1,15,92.3,2
3,19,7.27,53.8,1,29.1,84.3,2
3,20,7.21,77.6,1,18.8,83.9,2
3,21,,,1,,,
3,22,,,1,,,
3,23,,,1,,,
3,24,,,1,,,
3,25,6.97,102.5,2,12.7,89.2,0.2
3,26,6.75,53.5,2,34.5,82.5,0.2
3,27,6.75,94,2,5.4,81.9,0.2
3,28,6.73,87.1,2,23.9,84.8,0.2
3,29,7.48,32.9,2,30.7,85.1,0.3
3,30,7.08,90.9,2,9.8,98.6,0.3
3,31,7.39,65.3,2,22,90.3,0.3
3,32,7.12,65.3,2,20.4,97.6,0.4
3,33,6.91,63.8,2,28,87.4,0.4
3,34,7.14,93,2,34.8,88.8,0.5
3,35,7.21,106.7,2,27.4,81.6,0.5
3,36,7.4,51.5,2,14.1,83.6,0.5
3,37,6.75,96.9,2,24.3,90,0.5
3,38,6.97,53.2,2,14.2,87.6,0.6
3,39,7.4,37.8,2,16.4,84.6,0.6
3,40,7.4,31.6,2,20.4,88.7,0.6
3,41,7.45,85.2,2,18.1,85.3,0.6
3,42,7.4,81.2,2,11.7,80.8,0.6
3,43,6.81,105.1,2,19,83.3,0.6
3,44,7.05,53.9,2,16.1,81.3,0.6
3,45,6.83,42.7,2,22.7,85.9,0.6
3,46,7.12,85.4,2,28,84.9,0.7
3,47,7.35,40.3,2,15,82.2,0.7
3,48,7.22,82.2,2,10.7,87.8,0.7
3,49,7.11,70.7,2,29.2,89,0.7
3,50,6.74,47.2,2,16.6,91.1,0.7
4,0,7.45,72,2,16.6,85.1,0.7
4,1,6.8,101.1,2,17.5,84.9,0.7
4,2,7.24,58.9,2,14,81.2,0.8
4,3,7.49,100.5,2,21.6,92.1,0.8
4,4,7.14,86.4,2,18,90.5,0.9
4,5,7.03,106.6,2,13.2,88.7,0.9
4,6,6.77,47.3,2,22.9,90.9,0.9
4,7,6.71,37.4,2,30.4,86,1
4,8,7.24,34.3,2,32.7,88.7,1
4,9,6.95,100.2,2,22.6,94.2,1
4,10,7.49,82,2,12.4,90.8,1.1
4,11,6.76,100.5,2,11.8,80.5,1.1
4,12,6.99,54.2,2,22.9,83,1.2
4,13,6.71,37.4,2,19.7,80.3,1.2
4,14,6.86,82.3,2,24.6,90.8,1.2
4,15,7.03,87.5,2,30.2,95.5,1.3
4,16,6.85,74.4,2,14.8,80.2,1.3
4,17,6.89,39.3,2,34.9,82.4,1.3
4,18,7.03,87.7,2,10.1,94,1.3
4,19,7.17,30.5,2,28.2,98,1.3
4,20,7.41,41.7,2,8.3,91.8,1.3
4,21,7.46,57,2,18.5,91.4,1.4
4,22,7.36,102.5,2,18.9,80.8,1.4
4,23,7.06,58.4,2,25.1,83.9,1.4
4,24,7.32,36.8,2,32,80.1,1.4
4,25,6.85,84.2,2,17.8,82.9,1.5
4,26,7,89.1,2,25.2,91.1,1.5
4,27,6.98,80.9,2,11.5,85.1,1.5
4,28,7.24,57,2,15.6,87.9,1.5
4,29,6.85,45.5,2,30.1,90.6,1.5
4,30,6.99,91.7,2,28.2,91.4,1.5
4,31,6.94,83.7,2,15,80.8,1.6
4,32,7.14,44,2,23.5,92,1.6
4,33,6.87,100.5,2,13.1,84.1,1.6
4,34,7.21,67.1,2,7.2,87.2,1.6
4,35,7.05,65.7,2,14.6,97.7,1.6
4,36,6.85,100.5,2,11.6,82.9,1.6
4,37,6.85,104.8,2,27.5,95.1,1.6
4,38,7.19,35.1,2,9.6,98.5,1.7
4,39,6.73,107.9,2,8.3,96.6,1.7
4,40,7.16,43.3,2,26.1,87.8,1.7
4,41,6.76,77.4,2,5.7,94.2,1.7
4,42,7.06,77.8,2,34.7,92.5,1.7
4,43,6.87,37.4,2,34.7,90.6,1.7
4,44,6.74,86.2,2,27.8,92.3,1.7
4,45,7.35,43.3,2,22.3,92.1,1.7
4,46,6.92,103.5,2,18.1,93.3,1.8
4,47,7.08,39.5,2,32.3,91.9,1.8
4,48,7.07,76.4,2,5.6,87.1,1.8
4,49,6.84,77.6,2,34.4,95.9,1.8
4,50,7.07,41.1,2,28.7,85.3,1.8
5,0,7.33,55,2,6.4,91.5,1.8
5,1,7.37,49.6,2,34.9,87.7,1.8
5,2,7.03,50.5,2,12.5,80.1,1.8
5,3,7.24,52.5,2,32,85.4,1.8
5,4,7.09,39.7,2,15.4,94.7,1.9
5,5,6.92,54.7,2,6,89.7,1.9
5,6,7.13,108.4,2,5.2,93.3,1.9
5,7,7.48,82.1,2,14.6,98,1.9
5,8,7.22,106.4,2,10.7,90.5,1.9
5,9,7.04,44.4,2,17.8,98.9,1.9
5,10,6.76,71.4,2,21.6,94.5,1.9
5,11,7.11,54.7,2,19.5,88.3,1.9
5,12,7.48,40.3,2,8.8,98.7,1.9
5,13,6.95,108.3,2,26.8,82.7,1.9
5,14,6.98,56.9,2,10.7,86.4,2
5,15,7.35,73.2,3,20.6,96.5,0.2
5,16,7.33,55.6,3,30.4,98.2,0.2
5,17,6.73,51.6,3,25.6,82.3,0.3
5,18,6.87,74.2,3,15.3,92.7,0.3
5,19,6.94,97.2,3,27,84.8,0.3
5,20,6.99,68.6,3,13.1,85.8,0.3
5,21,7.3,89.7,3,20.1,93.9,0.3
5,22,7.04,50.9,3,32.1,96.9,0.3
5,23,7.34,107.3,3,6.3,93.1,0.3
5,24,6.94,77.6,3,23.9,80.8,0.3
5,25,7.5,86.3,3,22.9,89.5,0.3
5,26,7.16,61.6,3,15.1,98.4,0.4
5,27,7.09,103.2,3,34.1,80.7,0.4
5,28,7.38,59.2,3,23.9,98.3,0.4
5,29,7.37,45.3,3,14.1,95.8,0.4
5,30,7.3,74.6,3,11.3,90.6,0.5
5,31,7,63.9,3,8.5,96.2,0.5
5,32,6.81,72.8,3,13.5,82.6,0.5
5,33,6.78,62.6,3,14.4,93.3,0.6
5,34,6.73,47.1,3,27.6,98.3,0.6
5,35,7.06,42,3,30.9,97.8,0.6
5,36,7.46,59.5,3,33.9,84.1,0.6
5,37,7.08,49.5,3,14.9,94.9,0.6
5,38,7.12,102.2,3,21,95.6,0.6
5,39,6.77,66.5,3,17,83.8,0.7
5,40,7.36,63.7,3,17,85.7,0.7
5,41,7.23,98.9,3,11.3,84.7,0.7
5,42,7.18,84.4,3,14.6,93.2,0.7
5,43,6.73,84.3,3,30.3,87.6,0.7
5,44,6.74,41.6,3,34.6,98.5,0.7
5,45,7.14,72.7,3,8.1,90.8,0.7
5,46,6.81,34.6,3,11,94.2,0.8
5,47,7.36,92.7,3,29.2,80.6,0.8
5,48,7.34,99.9,3,8.1,86.5,0.8
5,49,7.05,68.9,3,28.7,83.1,0.8
5,50,7.1,72.9,3,25.8,97.4,0.8
6,0,7.07,53.8,3,9.2,95.8,0.8
6,1,7.03,31,3,9.1,82.4,0.8
6,2,7.06,96.3,3,28.1,88.2,0.8
6,3,6.84,77.6,3,21,85.6,0.9
6,4,7.36,51.6,3,25.5,93.4,0.9
6,5,7.16,52.6,3,29,85,0.9
6,6,7.23,110,3,11.9,98,0.9
6,7,7.16,49.3,3,17.4,84.7,1
6,8,6.79,44.3,3,28.5,98.4,1
6,9,7.21,93,3,13.2,82.4,1
6,10,7.46,60.6,3,29.4,88.9,1
6,11,6.81,59.1,3,6.9,90.3,1
6,12,7.44,49.9,3,7.7,94.6,1
6,13,7.48,64.4,3,8.9,87.6,1
6,14,7.29,62.8,3,13.6,89.5,1
6,15,7.17,63.5,3,30.1,86.8,1
6,16,7.06,30.5,3,8.6,81.7,1
6,17,7.03,41.4,3,10.8,82.2,1
6,18,6.9,35.6,3,10.6,85.2,1.1
6,19,7.28,84.5,3,28.8,88.6,1.1
6,20,6.78,52.1,3,12.4,84,1.1
6,21,7.42,106.9,3,13.3,80.4,1.1
6,22,6.94,56.4,3,29.5,80,1.1
6,23,7.15,92.5,3,19.1,94.1,1.1
6,24,7.02,63.2,3,13.5,81.4,1.1
6,25,7.13,63.6,3,32.3,81.9,1.1
6,26,6.88,93.1,3,10.4,97.2,1.1
6,27,7.25,78.7,3,33.8,85.1,1.2
6,28,7,50.1,3,16.9,81.3,1.2
6,29,6.93,40.9,3,13.7,90.5,1.2
6,30,7.44,94.3,3,20.7,86.4,1.2
6,31,6.98,77.3,3,7.9,92.9,1.2
6,32,7.15,74.9,3,17.7,80.4,1.2
6,33,7.42,60.4,3,8.1,82,1.3
6,34,6.9,104.5,3,13.6,98.6,1.3
6,35,7.41,53.6,3,8.3,94.5,1.3
6,36,7.05,41.4,3,34,92.1,1.3
6,37,7.32,37.4,3,5.4,87.1,1.3
6,38,7.41,36.6,3,18.8,82.7,1.3
6,39,7.27,73.4,3,7.2,98.1,1.3
6,40,7.18,38.7,3,15.8,88.5,1.3
6,41,6.73,72.7,3,17.1,87.2,1.4
6,42,7.48,31.8,3,25.1,91.8,1.4
6,43,7.16,66.8,3,32.3,88.6,1.4
6,44,7.22,53.1,3,19.7,82.5,1.4
6,45,7.44,78.2,3,26.2,88.7,1.4
6,46,7.21,99.4,3,15,89.7,1.4
6,47,7.41,99.4,3,23.6,95.1,1.4
6,48,7.25,73.2,3,27.6,80.6,1.4
6,49,7.13,60.2,3,11,96.7,1.5
6,50,7.47,73.6,3,17.2,98.2,1.5
7,0,6.79,77.6,3,28.6,87.5,1.5
7,1,7.44,108.3,3,26.2,97.5,1.5
7,2,6.96,54.7,3,7.8,85.3,1.5
7,3,6.71,109.1,3,16.4,95,1.5
7,4,7.26,46,3,7,94.5,1.5
7,5,6.83,65.7,3,23.4,93.2,1.5
7,6,6.85,103.9,3,31.5,92.6,1.5
7,7,6.84,92.8,3,15.2,88.6,1.5
7,8,6.97,55.3,3,24.9,90.1,1.5
7,9,6.91,53.7,3,32.6,97.7,1.5
7,10,6.88,89.9,3,14.2,98.3,1.5
7,11,6.77,69.6,3,10.5,95.1,1.6
7,12,7.34,65,3,21.3,94.7,1.6
7,13,6.76,103.5,3,26.2,96.5,1.7
7,14,7.29,61.1,3,30.4,87.8,1.7
7,15,6.83,66.8,3,8.4,96,1.7
7,16,6.85,86.2,3,32.8,86.9,1.7
7,17,6.77,82.2,3,25.7,81.6,1.7
7,18,7.04,54.7,3,13.2,83.4,1.8
7,19,7.16,48.7,3,7.5,92.6,1.8
7,20,7.36,69.3,3,25.6,82.9,1.8
7,21,7.19,94.1,3,27.5,98.1,1.8
7,22,6.81,83.8,3,13.8,85.9,1.8
7,23,7.4,66.7,3,22.7,89.2,1.9
7,24,6.85,81.9,3,10.8,93.1,1.9
7,25,7.28,105.2,3,17.5,95.8,1.9
7,26,7.1,70.6,3,29.6,86,1.9
7,27,6.87,108.9,3,9.1,93.4,1.9
7,28,6.71,95.7,3,14.3,94.1,1.9
7,29,6.74,51.4,3,19.7,94.2,1.9
7,30,6.79,48.9,3,5.5,86.7,2
7,31,6.74,98.7,3,11.8,86.9,2
7,32,6.81,57.1,3,26,92.3,2
7,33,6.89,77.7,3,20.2,82.2,2
7,34,7.02,45.8,3,31,80.8,2
7,35,,,3,,,
7,36,,,3,,,
7,37,,,3,,,
7,38,,,3,,,
7,39,7.19,55.7,4,16.2,84.3,0.2
7,40,6.77,48.7,4,15.6,92,0.2
7,41,6.97,48.8,4,8.3,97.6,0.3
7,42,6.88,55.8,4,21.9,82.4,0.3
7,43,7.05,69.2,4,18,97.7,0.3
7,44,7.48,91.7,4,32.3,97.8,0.3
7,45,7.26,49.7,4,28.4,93.9,0.3
7,46,7.47,86.1,4,20.3,94.2,0.3
7,47,7.36,106.7,4,5,88.8,0.3
7,48,6.77,33.3,4,32.9,89.2,0.4
7,49,7.33,86.7,4,12,89.6,0.5
7,50,6.81,92.1,4,30.7,96.2,0.5
8,0,6.87,53.7,4,32.5,93.4,0.5
8,1,7.29,37.9,4,32.7,84.4,0.5
8,2,6.79,36.4,4,28.7,95,0.5
8,3,7.46,90.4,4,20.8,97.7,0.5
8,4,7.33,98.6,4,30.2,97.3,0.5
8,5,6.7,104.2,4,12,97.6,0.6
8,6,7.1,102.1,4,31.3,94,0.6
8,7,7.35,34.6,4,16,82.5,0.6
8,8,7.29,39.2,4,33,92.1,0.7
8,9,7.43,36.3,4,35,92.7,0.7
8,10,6.81,98.9,4,13,80.3,0.7
8,11,7.25,80.9,4,23.1,83.7,0.8
8,12,7.45,44.7,4,29,97.5,0.8
8,13,6.96,108.7,4,32.1,94.5,0.8
8,14,7.08,49.9,4,23,96.7,0.8
8,15,6.95,41.2,4,10.2,94.3,0.8
8,16,6.75,57.7,4,26.5,85,0.8
8,17,7.11,91.4,4,7.1,87.3,0.8
8,18,6.74,83.5,4,26.5,86.5,0.8
8,19,6.93,87.8,4,19.9,89.1,0.9
8,20,6.92,35.7,4,16.6,96,0.9
8,21,7.43,105.3,4,19,94.9,0.9
8,22,7.14,60.1,4,10.1,93.1,0.9
8,23,7.22,38.9,4,17.3,98.7,0.9
8,24,6.97,44.8,4,23.8,88.9,0.9
8,25,7.27,43.8,4,26.1,84.8,1
8,26,7.06,65.4,4,25.4,95.6,1
8,27,6.8,68.9,4,30.7,80.4,1
8,28,7.38,108.2,4,24.4,96,1.1
8,29,6.92,70.4,4,30,92.7,1.1
8,30,6.75,64.8,4,28.1,97.3,1.1
8,31,6.74,89.6,4,10.2,83.5,1.1
8,32,7.19,47.7,4,20.2,88.8,1.1
8,33,7.33,102.4,4,25.7,80.2,1.2
8,34,7.49,93.7,4,9.5,96.8,1.2
8,35,6.71,43.1,4,34,86.5,1.2
8,36,6.95,105.7,4,16.9,90.4,1.2
8,37,7.11,36.8,4,16.7,80,1.2
8,38,7.39,84.6,4,34.8,87.2,1.3
8,39,7.41,93.4,4,21.5,85.3,1.3
8,40,7.02,38.2,4,21,94.4,1.3
8,41,6.9,64.8,4,28.9,87,1.4
8,42,7.33,76.5,4,34.9,82.7,1.4
8,43,6.93,48,4,6.1,87.1,1.4
8,44,7.22,48.4,4,13.8,97.2,1.4
8,45,7.41,96,4,33.8,81.8,1.4
8,46,7.09,97.5,4,11.2,87.5,1.4
8,47,7.32,51.2,4,26.5,97.3,1.5
8,48,6.81,90.9,4,8.9,91.1,1.5
8,49,7.17,53.1,4,27,93.9,1.5
8,50,6.89,71,4,28.9,80.5,1.5
9,0,6.78,71.4,4,12.7,89.1,1.5
9,1,7.27,80.9,4,19.4,98.7,1.5
9,2,6.9,68.6,4,18.9,86.7,1.5
9,3,7.1,50.4,4,24.3,84,1.5
9,4,7.43,32.2,4,34.1,92.7,1.6
9,5,7.21,46.7,4,5.7,83.8,1.6
9,6,6.73,87.9,4,20,93.3,1.6
9,7,7.02,38.2,4,19.7,87.7,1.6
9,8,7.03,44.3,4,13.4,80.9,1.6
9,9,6.79,76.2,4,8.2,95.4,1.6
9,10,6.94,87.2,4,30.3,97,1.6
9,11,6.73,78.4,4,6.1,96.8,1.7
9,12,7.24,54.9,4,15.6,93.4,1.7
9,13,6.86,104.2,4,13.3,83.2,1.7
9,14,6.85,45.3,4,21.4,84.8,1.7
9,15,7.04,59.7,4,13.8,86.4,1.7
9,16,7.13,66.9,4,31.5,96.8,1.8
9,17,7.1,56.5,4,7.3,80.3,1.8
9,18,6.85,35.1,4,11.9,96,1.8
9,19,6.8,34.1,4,30.1,81.6,1.8
9,20,7.22,55.3,4,8.2,84.1,1.9
9,21,7.36,66.7,4,17.3,95.9,1.9
9,22,7.2,70.4,4,6.2,90.9,1.9
9,23,7.01,77.8,4,34,91.9,1.9
9,24,6.76,90.1,4,30.3,87.9,1.9
9,25,6.95,109.2,4,18.3,97.9,1.9
9,26,7.31,105,4,28,98.6,2
9,27,7.06,38.8,4,31.5,83.9,2
9,28,7.33,36.1,4,33.6,82.1,2
9,29,,,4,,,
9,30,,,4,,,
9,31,7.09,87.6,5,5.8,83.2,0.2
9,32,7.08,56.8,5,23.8,85.3,0.2
9,33,6.88,95.6,5,21.5,88.4,0.3
9,34,7.25,69.6,5,27.2,83,0.3
9,35,6.92,90.1,5,9.8,91.3,0.3
9,36,6.76,97.5,5,13.7,90.1,0.3
9,37,7.44,63.8,5,29.3,92.9,0.3
9,38,7.48,93.5,5,6.1,81.6,0.4
9,39,7.3,41.2,5,27.2,97.7,0.4
9,40,6.73,104.5,5,21.9,97.8,0.4
9,41,7.09,95.1,5,28.7,92.6,0.4
9,42,6.86,91.7,5,6.1,88.2,0.4
9,43,6.72,44.2,5,27.5,85.4,0.5
9,44,7.24,71.4,5,31.6,98.8,0.5
9,45,7.25,78.1,5,30.9,91.8,0.5
9,46,7.07,55,5,31.8,90,0.5
9,47,6.86,68.1,5,8.4,85.9,0.5
9,48,6.95,84.6,5,16.4,89.1,0.5
9,49,6.79,56.1,5,20.1,96.5,0.5
9,50,6.72,49.7,5,27.4,98.6,0.5
10,0,6.83,90.5,5,33.4,92.7,0.6
10,1,7.25,66.1,5,35,89.5,0.6
10,2,7.32,102,5,26.3,83.5,0.6
10,3,6.72,60.3,5,24.1,94.7,0.7
10,4,7.2,87,5,24.1,88.6,0.7
10,5,7.47,41.2,5,23.1,87.4,0.7
10,6,7.06,97.1,5,16,90,0.7
10,7,7.17,98.6,5,7,81.2,0.8
10,8,7.11,33.8,5,22.4,86.7,0.8
10,9,6.71,68.2,5,26.4,82.8,0.8
10,10,7.22,102.2,5,19.9,88.9,0.9
10,11,6.92,56.7,5,26.1,81.6,0.9
10,12,7.03,100.3,5,10.8,84.2,0.9
10,13,6.84,100,5,19.7,93.6,0.9
10,14,6.93,61.5,5,19.5,81.8,0.9
10,15,7.23,98.7,5,6.2,96.2,0.9
10,16,7.18,73.4,5,11.1,82.2,1
10,17,6.81,106.7,5,13.3,83.4,1
10,18,7.25,91.6,5,10.9,86.4,1
10,19,6.73,104.9,5,28.9,95.1,1
10,20,7.07,56,5,26.7,81.1,1
10,21,7.39,47.5,5,17.9,89.3,1
10,22,7.1,89.1,5,17,94.7,1
10,23,7.06,96.8,5,9,94.3,1
10,24,7.2,57.8,5,7.2,86.8,1.1
10,25,7.48,64.2,5,21.3,90,1.1
10,26,6.71,84,5,10.3,96.1,1.2
10,27,7.05,105.6,5,23.7,95.6,1.3
10,28,7.39,85.4,5,34.7,80.5,1.3
10,29,6.8,46,5,15.3,81.8,1.3
10,30,7.33,108,5,33.8,87.4,1.3
10,31,7.15,35.6,5,27.3,95.6,1.3
10,32,6.98,54.2,5,33.2,89.5,1.3
10,33,7.24,96.4,5,28.2,94.4,1.4
10,34,6.98,101.5,5,34.8,96,1.4
10,35,6.86,61.1,5,21.1,89.3,1.4
10,36,7.45,42.1,5,19.7,97,1.4
10,37,7.2,70.9,5,31.7,92,1.5
10,38,6.81,38.6,5,24,95.8,1.5
10,39,6.79,87.9,5,9.3,95.9,1.5
10,40,7.32,105.2,5,20.3,99,1.5
10,41,7.21,38.6,5,22.7,91.1,1.6
10,42,6.83,67.5,5,28.1,98.2,1.6
10,43,7.01,76.9,5,20.8,96.1,1.6
10,44,7.33,70.6,5,20,85.8,1.6
10,45,7.3,59.7,5,33.1,88.7,1.7
10,46,7.14,49.4,5,18.6,87.7,1.7
10,47,6.85,88.4,5,19.6,96.5,1.8
10,48,7.07,85.8,5,28.3,83,1.8
10,49,6.84,77.6,5,11,95.3,1.8
10,50,7.26,70.5,5,11.8,84.1,1.8
11,0,7.02,85.1,5,21.1,83.2,1.8
11,1,7.4,53.2,5,23.2,96.3,1.9
11,2,7.35,76.7,5,19,92.3,1.9
11,3,6.92,65.1,5,13.3,87.6,1.9
11,4,6.76,62.5,5,10.3,82,2
11,5,6.78,56.6,5,13.6,81.9,2
11,6,6.9,92.9,5,26.2,85.7,2
11,7,7.24,93,5,5.5,86.5,2
11,8,,,5,,,
11,9,,,5,,,
11,10,,,5,,,
11,11,7.25,30.9,6,29.9,92.7,0.2
11,12,6.91,53.1,6,11.5,98.4,0.2
11,13,7.11,54,6,24.2,91.1,0.2
11,14,7.28,98.9,6,18.6,80.8,0.3
11,15,6.92,39,6,19.3,84.5,0.3
11,16,6.96,50.3,6,9.9,81.1,0.3
11,17,7.46,100.1,6,29.4,81,0.3
11,18,6.91,63.9,6,10.3,87.4,0.3
11,19,7.49,78.7,6,6.7,90.1,0.4
11,20,7.04,101.1,6,25.5,92.4,0.4
11,21,7.02,60.6,6,8.6,86.1,0.5
11,22,6.99,98.9,6,33,97.7,0.5
11,23,6.79,38.2,6,21.1,94.4,0.5
11,24,7.37,49,6,14.3,94.4,0.5
11,25,7.3,77.6,6,17.5,83.3,0.5
11,26,7.23,34.4,6,10.3,90.6,0.5
11,27,6.85,66.9,6,22.7,92.3,0.5
11,28,7.32,103.2,6,27.4,81.6,0.5
11,29,7.31,106.8,6,23.1,91.4,0.5
11,30,6.82,80.7,6,30.5,97.6,0.5
11,31,6.93,76.2,6,18.6,98.5,0.6
11,32,7.29,65.5,6,16.1,97,0.6
11,33,7.34,58.5,6,11.6,84.4,0.7
11,34,7.05,108.9,6,8.9,91.9,0.7
11,35,7.16,78.6,6,10.7,88.3,0.7
11,36,7,94.1,6,28.9,90.4,0.7
11,37,7.45,52,6,18.9,87.9,0.8
11,38,7.5,93.8,6,15.6,92.5,0.8
11,39,6.72,43.4,6,22.2,90.2,0.8
11,40,6.9,36,6,20.3,86.9,0.8
11,41,7.14,100.2,6,18.3,82.4,0.8
11,42,7.07,48.3,6,9.9,89.3,0.8
11,43,6.89,57.2,6,34.8,87.6,0.8
11,44,7.09,107.4,6,6.2,88.7,0.9
11,45,6.86,59.1,6,25.6,95.7,0.9
11,46,6.99,83.9,6,18.4,89.7,0.9
11,47,7.37,31.4,6,28,96.4,0.9
11,48,7.4,68.6,6,14.7,92.8,0.9
