Bioreactor,Day,pH,CO2,Cell_Density,Cell_Viability,Product_Titer
6,2,7.21,100.4,26.3,89.7,0.2
6,3,7.41,39.2,9.6,97.7,0.2
6,4,6.87,36.2,7.5,89.6,0.2
6,5,7.1,40.1,30.3,96.2,0.2
6,6,6.9,78.2,9.8,89.4,0.2
6,7,7.2,70,21.7,98,0.2
6,8,7.31,80.1,31.9,94.6,0.2
6,9,7.21,109.6,29.5,93.7,0.2
6,10,6.99,102.3,7.6,90.9,0.2
6,11,7.42,62.3,28.8,98.1,0.2
6,12,7.26,59.3,22.7,95.9,0.2
6,13,7.2,52.8,23,92.6,0.2
6,14,6.94,78.7,9.7,90.2,0.2
6,15,6.98,91.5,18.3,85.9,0.2
6,16,7.5,45.7,22.7,89.8,0.2
6,17,7.1,44.2,13.9,80.5,0.2
6,18,7.29,35.7,24.5,92.4,0.2
6,19,7.49,93.1,6.2,88.3,0.2
6,20,7.09,82.5,27.4,96.4,0.2
6,21,7.32,99.5,21.4,92.8,0.2
6,22,6.97,92.9,30,97.8,0.2
6,23,7.19,92.9,17.6,95.7,0.2
6,24,7.21,67.7,33.9,90.3,0.2
6,25,7.24,102.8,7.2,97.6,0.2
6,26,7.24,95.2,6.8,95,0.2
6,27,6.86,104.8,22.5,80.6,0.2
6,28,6.89,76.1,20.2,96.4,0.2
6,29,7.1,35.1,29.6,89,0.2
6,30,6.89,79.8,8,92.4,0.2
6,31,7,103,12.4,95.3,0.2
6,32,6.72,40.2,7.8,81.8,0.2
6,33,6.74,93.1,7.7,98.9,0.2
6,34,6.92,44.7,10.1,97.7,0.2
6,35,7.01,30.4,11,82.2,0.2
6,36,6.73,35.7,15.2,80.3,0.2
6,37,7.23,36.9,5,85.7,0.2
6,38,6.73,87.1,23.9,84.8,0.2
6,39,7.3,98.1,10,86.6,0.2
6,40,7.3,38.7,22.9,98.1,0.2
6,41,6.88,39.5,27.6,87.2,0.2
6,42,7.25,85.5,29.9,80.8,0.2
6,43,6.99,73.8,13.4,87.2,0.2
6,44,6.73,72.6,22.4,92.4,0.2
6,45,7.08,92.1,32.6,94.2,0.2
6,46,7.07,73.8,31.8,85.5,0.2
6,47,7.37,101,14.7,97.2,0.2
6,48,6.87,63.2,25.3,98.1,0.2
6,49,7.02,32.4,17.8,81.7,0.2
6,50,6.83,41,28.6,83.6,0.2
7,0,7.14,42.6,27.9,85.5,0.2
7,1,7.34,98.5,16.5,81.5,0.3
7,2,7.44,65,25.3,80.8,0.3
7,3,7.3,34.6,8.3,91.7,0.3
7,4,7.27,45.7,13.4,86.2,0.3
7,5,7.04,37.2,29.2,95.7,0.3
7,6,7.06,85.7,9.6,85.4,0.3
7,7,7.25,80.9,25.7,81.6,0.3
7,8,7,97.1,14.1,95.8,0.3
7,9,6.71,65.7,30.8,90.4,0.3
7,10,7.06,97.6,31.3,86.8,0.3
7,11,7.26,43.8,22.4,86.6,0.3
7,12,6.99,82.4,8.9,90.2,0.3
7,13,7.45,80.2,9.4,84.1,0.3
7,14,6.91,106.7,11.4,94,0.3
7,15,7.46,37.4,31.9,95.4,0.3
7,16,6.86,55.7,10.8,96.3,0.3
7,17,7.48,32.9,30.7,85.1,0.3
7,18,7.19,66.3,14.9,92.4,0.3
7,19,6.94,91.3,19.6,92.6,0.3
7,20,6.93,108.8,23.7,88.9,0.3
7,21,6.97,83.4,20.2,89.2,0.3
7,22,6.73,51.6,25.6,82.3,0.3
7,23,6.81,45.5,27.1,98.8,0.3
7,24,6.91,71.2,23.4,98.3,0.3
7,25,7.21,30.6,32.7,80.7,0.3
7,26,7.11,106.8,24.9,81.2,0.3
7,27,7.43,72,28.2,88.7,0.3
7,28,6.82,39.4,16.7,84.6,0.3
7,29,7.04,82,12.5,87.6,0.3
7,30,7.21,65.9,11.3,86.9,0.3
7,31,6.97,48.8,8.3,97.6,0.3
7,32,7.34,65.9,22.9,89.5,0.3
7,33,7.15,71.3,7.6,85.6,0.3
7,34,7.3,71.8,26.5,91.9,0.3
7,35,7.06,31.1,5.1,94.1,0.3
7,36,7.09,61.4,12.9,87.5,0.3
7,37,7.5,32.8,25.6,87.5,0.3
7,38,6.83,60,30.7,82.4,0.3
7,39,6.9,78.2,17.7,95,0.3
7,40,7.25,109,20.8,88.6,0.3
7,41,7.3,47.3,26.4,95,0.3
7,42,6.87,41.5,30.4,94,0.3
7,43,6.73,62.5,25.6,85.5,0.3
7,44,7.29,80.5,26.2,98.2,0.3
7,45,7.35,39,22.1,95.9,0.3
7,46,6.93,72.2,31.9,91.9,0.3
7,47,6.98,30.3,6.2,91.6,0.3
7,48,7.29,30.4,31.9,95.8,0.3
7,49,6.77,84.6,33,95.1,0.3
7,50,7.15,71,13,98.3,0.3
8,0,6.82,38.2,15.1,98.9,0.3
8,1,6.86,77.3,32.7,89.2,0.3
8,2,7.04,66.9,7.7,85.5,0.3
8,3,7.39,75.5,23.4,83.7,0.3
8,4,7,75.2,21.7,95.3,0.3
8,5,6.82,30.8,33,80.5,0.3
8,6,7.16,67.9,25.7,98.3,0.3
8,7,7.28,42.8,13.7,89.1,0.3
8,8,6.78,74.6,9.4,88.5,0.3
8,9,6.75,88.4,22.5,94.3,0.3
8,10,7.08,54.9,34.4,88.1,0.3
8,11,6.97,66.8,32.9,81.7,0.3
8,12,6.83,88.8,7.9,91.7,0.3
8,13,7.28,98.9,18.6,80.8,0.3
8,14,7.49,61.1,21.4,91.9,0.3
8,15,7.13,104.2,9.5,85.6,0.3
8,16,6.73,56.8,6.2,80.3,0.3
8,17,7.02,33.4,9.4,90,0.3
8,18,7.45,81.3,8.2,87.6,0.3
8,19,7.09,98.2,9.2,87.3,0.3
8,20,6.88,91.4,11.2,85,0.3
8,21,7.4,36.4,31.3,97.3,0.3
8,22,6.92,39,19.3,84.5,0.3
8,23,7.16,63.4,8.8,85.9,0.3
8,24,7.15,73.3,12.7,88.7,0.3
8,25,6.96,35.5,24,87,0.3
8,26,7.1,80.1,27.6,94.4,0.3
8,27,7.5,105.8,31.4,82.3,0.3
8,28,6.87,74.2,15.3,92.7,0.3
8,29,7.31,36.6,10.9,93.1,0.3
8,30,7.3,77.4,30.7,86.4,0.3
8,31,6.85,51.2,31.8,85.3,0.3
8,32,6.99,56.8,5.1,92.8,0.3
8,33,6.97,77.5,12.7,86.2,0.3
8,34,7.01,41.7,27.9,84.4,0.3
8,35,6.74,106.2,16.9,80.4,0.3
8,36,7.12,99.6,28,94.3,0.3
8,37,7.04,100.5,7.9,89.9,0.3
8,38,6.94,85.4,11.3,82.7,0.3
8,39,7.06,84.2,6.5,82.4,0.3
8,40,7.11,95.8,7.3,80.4,0.3
8,41,6.88,55.8,21.9,82.4,0.3
8,42,7.09,59.8,7.9,95.8,0.3
8,43,7.26,54.5,11.2,87.7,0.3
8,44,6.88,95.6,21.5,88.4,0.3
8,45,7.16,60.6,9.9,92.5,0.3
8,46,6.83,64.9,11.4,89.9,0.3
8,47,7.29,81.1,5,81,0.3
8,48,7.25,95.4,7.1,95,0.3
8,49,6.76,33.5,18.3,93.7,0.3
8,50,7.16,97.1,34.4,81.6,0.3
9,0,6.94,92.1,16.9,93.9,0.3
9,1,7.18,30.3,5.9,82.7,0.3
9,2,7.29,59,20.1,97.5,0.3
9,3,7.08,90.9,9.8,98.6,0.3
9,4,6.98,82,24.7,93.7,0.3
9,5,7.47,52.1,16.4,98.9,0.3
9,6,7.34,100.8,25.9,91.6,0.3
9,7,7.05,64.8,7.4,87,0.3
9,8,6.9,109.2,9.2,85.5,0.3
9,9,7.13,92.8,13.9,98.1,0.3
9,10,7.46,61.4,32.5,99,0.3
9,11,6.71,59.2,20.4,89.9,0.3
9,12,7.19,63.9,18.3,98.6,0.3
9,13,7.46,46.3,26,98.6,0.3
9,14,6.85,52.9,31,86.1,0.3
9,15,7.04,96.8,14.1,97,0.3
9,16,6.7,90.3,23.7,83,0.3
9,17,7.26,50.6,15.4,96.9,0.3
9,18,6.79,34.4,14.5,87,0.3
9,19,7.15,97.1,33.5,82.3,0.3
9,20,7.08,55.2,16,95.7,0.3
9,21,6.78,66.5,31.5,94.8,0.3
9,22,7.17,83.2,23.7,80.9,0.3
9,23,6.94,49.6,10.4,87.3,0.3
9,24,6.96,37.5,14.6,92.5,0.3
9,25,7.26,101.4,32.4,80.2,0.3
9,26,7.33,40.5,18.3,97.5,0.3
9,27,7.45,101.1,23.1,94.6,0.3
9,28,7.44,31.8,5.4,89.8,0.3
9,29,6.75,64.3,26.7,88.3,0.3
9,30,7.05,33.2,11.9,82.5,0.3
9,31,7.07,63.3,30.1,88.3,0.3
9,32,6.83,94.5,27.1,83.6,0.3
9,33,7.22,40.2,17.9,91,0.3
9,34,6.99,45.4,30,87.8,0.3
9,35,7.17,54.4,31.9,85,0.3
9,36,7.09,87.3,7.9,90.6,0.3
9,37,6.72,109.4,19.9,86.5,0.3
9,38,7.44,50.6,12.3,98.1,0.3
9,39,6.89,108.3,15.6,84.8,0.3
9,40,7.39,109.5,24.2,94.5,0.3
9,41,7.45,43.7,31.6,82.2,0.3
9,42,6.94,97.2,27,84.8,0.3
9,43,7.16,58.1,10.1,83,0.3
9,44,6.9,109.3,27.1,97.6,0.3
9,45,7.1,88.7,23.4,83.9,0.3
9,46,6.99,68.6,13.1,85.8,0.3
9,47,7.31,68.5,6.3,95.1,0.3
9,48,6.94,51.2,10.4,95.5,0.3
9,49,7.19,56.7,5.8,95.8,0.3
9,50,7.02,69,25.5,90.6,0.3
10,0,7.09,109,21.3,96.5,0.3
10,1,6.86,33.6,6.9,97.9,0.3
10,2,7.1,100.2,24.8,92.8,0.3
10,3,7.5,97.1,29.6,82.4,0.3
10,4,7.05,69.2,18,97.7,0.3
10,5,7.1,33.5,8.6,92,0.3
10,6,6.99,35.4,29.9,83.9,0.3
10,7,6.9,59.4,27.9,93.4,0.3
10,8,6.86,40.8,20.5,87.9,0.3
10,9,6.86,78.1,15.4,83.6,0.3
10,10,7.25,32.9,27.4,90.8,0.3
10,11,7.19,35.4,34.5,88.6,0.3
10,12,7.31,37.1,30.1,82.6,0.3
10,13,7.13,83,29.7,94.7,0.3
10,14,7.39,43.8,29.5,95.2,0.3
10,15,6.79,53.3,28,89.1,0.3
10,16,7.36,65.4,16.4,96.8,0.3
10,17,6.89,106.3,15.4,94.7,0.3
10,18,7.33,41,5.6,94.4,0.3
10,19,6.95,52.7,7,89.6,0.3
10,20,7.22,33.6,23.1,96.3,0.3
10,21,6.76,79.3,32.1,81.7,0.3
10,22,7.44,52.8,6.1,92.2,0.3
10,23,7.04,41.8,27.5,82.3,0.3
10,24,7.34,54.7,9,91.2,0.3
10,25,7.41,104.8,17.6,89.4,0.3
10,26,7.25,69.6,27.2,83,0.3
10,27,6.83,48.4,23.9,93.4,0.3
10,28,6.9,81.4,32.9,81.4,0.3
10,29,7.15,48.8,33.2,89,0.3
10,30,7.16,76.1,11.4,94,0.3
10,31,7.06,37.7,7,92.5,0.3
10,32,7.08,66.9,6.2,86.5,0.3
10,33,7.06,82.9,24,88.9,0.3
10,34,7.28,34.8,11.3,90.9,0.3
10,35,7.1,45.5,14.2,84.6,0.3
10,36,7.38,59.7,29.6,87,0.3
10,37,7.13,52.6,21.4,87.7,0.3
10,38,6.95,91.8,13.8,86.4,0.3
10,39,7.04,83.2,33,86.7,0.3
10,40,7.42,63.9,20.5,83.3,0.3
10,41,6.79,33.2,34.3,87.5,0.3
10,42,6.97,68.3,30.4,89.1,0.3
10,43,7.06,70.6,25.8,94.3,0.3
10,44,7.48,66,12.7,85.6,0.3
10,45,7.06,47,31.8,80.8,0.3
10,46,6.81,32.1,20.3,82.6,0.3
10,47,7.07,36.1,23.6,86.6,0.3
10,48,7.02,64.5,15.6,83.6,0.3
10,49,6.82,69.7,17.1,94,0.3
10,50,7.23,101.8,21.9,90.7,0.3
11,0,7.42,94.2,17.5,90.7,0.3
11,1,6.92,82.5,29.9,89.7,0.3
11,2,7.39,85.9,18.7,88.3,0.3
11,3,7.14,91.8,6.2,81.5,0.3
11,4,7.18,100.9,26.7,98.4,0.3
11,5,7.24,53.2,13.4,92.4,0.3
11,6,7.01,96.9,9.3,86.2,0.3
11,7,7.2,78.4,21.7,92.5,0.3
11,8,7.1,90.3,11.1,96.5,0.3
11,9,6.92,90.1,9.8,91.3,0.3
11,10,6.76,97.5,13.7,90.1,0.3
11,11,7.49,67,11.8,83.1,0.3
11,12,6.82,44.4,6,98.4,0.3
11,13,6.87,104.3,21.4,95.6,0.3
11,14,7.48,91.7,32.3,97.8,0.3
11,15,7.2,53.3,32.5,93.2,0.3
11,16,6.96,50.3,9.9,81.1,0.3
11,17,7.28,51.7,16.5,85.6,0.3
11,18,7.04,36.9,18.4,89.5,0.3
11,19,7.18,78.7,32.2,98.7,0.3
11,20,7.22,94.6,18.7,86.3,0.3
11,21,6.85,30.1,17.3,93.7,0.3
11,22,7.04,108,13.8,88.3,0.3
11,23,7.03,98.4,14.7,94.2,0.3
11,24,6.87,30.2,18.3,92.2,0.3
11,25,7.29,41.6,17.3,88.1,0.3
11,26,7.15,59.5,16.3,94.8,0.3
11,27,7.49,51,19.2,89.1,0.3
11,28,6.95,69.3,30.8,90,0.3
11,29,7.41,107.9,33,86.7,0.3
11,30,6.71,70.5,6,93.9,0.3
11,31,6.95,95.4,23.6,86.8,0.3
11,32,7.44,57.2,5.4,80.5,0.3
11,33,7.13,41.4,20.5,86.7,0.3
11,34,6.92,109.6,10.9,97.8,0.3
11,35,7.46,53.6,33.3,82.3,0.3
11,36,7.42,100.3,23.2,90.6,0.3
11,37,6.88,50,22.3,91.3,0.3
11,38,7.08,66.9,14.5,91.4,0.3
11,39,7.3,89.7,20.1,93.9,0.3
11,40,6.73,46.5,31.4,93.3,0.3
11,41,7.09,99.6,23.9,82.4,0.3
11,42,7.16,81.1,21.6,87.1,0.3
11,43,7.38,47,10.4,85.2,0.3
11,44,6.77,53,9.1,98.4,0.3
11,45,6.96,48.5,11.7,98,0.3
11,46,6.73,43.3,30.1,84.7,0.3
11,47,6.96,62.7,32.9,87.5,0.3
11,48,7.33,37.4,24.3,84,0.3
11,49,6.74,57.9,33,86.2,0.3
11,50,6.84,80.9,19,81.9,0.3
12,0,7.03,99.5,7.4,88.5,0.3
12,1,7.32,74.2,5.8,98.8,0.3
12,2,7.39,73.6,27.9,89.6,0.3
12,3,7.48,61.8,6.4,97.4,0.3
12,4,6.89,61.4,27.4,93.9,0.3
12,5,7.38,45.8,33.5,90.1,0.3
12,6,7.14,68.6,28,88.5,0.3
12,7,7.26,49.7,28.4,93.9,0.3
12,8,7.09,49.3,14.2,86.1,0.3
12,9,6.93,82.5,7.6,87.5,0.3
12,10,6.95,76.2,22.2,95.1,0.3
12,11,6.92,34.6,23.2,85,0.3
12,12,6.77,31.3,13,92.2,0.3
12,13,6.89,105,8.7,83.8,0.3
12,14,7.06,60.3,16.5,92.8,0.3
12,15,7.42,63.8,7.7,86.1,0.3
12,16,7.17,35.3,28.6,88.2,0.3
12,17,7.11,74.9,10.7,97.7,0.3
12,18,7.34,99.9,20.2,89.1,0.3
12,19,7.35,99.5,13.5,92.2,0.3
12,20,7.28,66.8,24.1,89.5,0.3
12,21,6.86,77,5.3,86,0.3
12,22,7.31,90,8.5,91.5,0.3
12,23,7.2,74.7,8.9,89.3,0.3
12,24,7.4,54.8,13.8,94.8,0.3
12,25,6.73,98.6,25.4,93.3,0.3
12,26,7.32,74,6.5,91.6,0.3
12,27,7.05,31.3,21.7,92.3,0.3
12,28,6.98,93.1,31.2,80.4,0.3
12,29,7.32,58.4,22.1,82.4,0.3
12,30,7.14,34,32.2,88,0.3
12,31,7.36,77,27.7,89.3,0.3
12,32,7.48,103.7,16.3,91.2,0.3
